Layer Name,Op Type,Inputs,Outputs
tf_op_layer_Sum/Sum_reduce_min,ReduceSum,"image_input['None', 3, 48, 96]","tf_op_layer_Sum/Sum:0['None', 1, 48, 96]"
conv1,Conv,"tf_op_layer_Sum/Sum:0['None', 1, 48, 96], conv1_W_newUnknown, conv1_B_newUnknown","convolution_output20['None', 64, 48, 96]"
re_lu_clip,Clip,"convolution_output20['None', 64, 48, 96], clip_min16Unknown","re_lu/Relu:0['None', 64, 48, 96]"
re_lu/Relu:0_pooling,MaxPool,"re_lu/Relu:0['None', 64, 48, 96]","re_lu/Relu:0_pooling0['None', 64, 48, 96]"
res2a_branch1,Conv,"re_lu/Relu:0_pooling0['None', 64, 48, 96], res2a_branch1_W_newUnknown, res2a_branch1_B_newUnknown","convolution_output16['None', 64, 48, 96]"
res2a_branch2a,Conv,"re_lu/Relu:0_pooling0['None', 64, 48, 96], res2a_branch2a_W_newUnknown, res2a_branch2a_B_newUnknown","convolution_output19['None', 64, 48, 96]"
re_lu_1_clip,Clip,"convolution_output19['None', 64, 48, 96], clip_min15Unknown","re_lu_1/Relu:0['None', 64, 48, 96]"
res2a_branch2b,Conv,"re_lu_1/Relu:0['None', 64, 48, 96], res2a_branch2b_W_newUnknown, res2a_branch2b_B_newUnknown","convolution_output17['None', 64, 48, 96]"
tf_op_layer_add/add,Add,"convolution_output16['None', 64, 48, 96], convolution_output17['None', 64, 48, 96]","tf_op_layer_add/add:0['None', 64, 48, 96]"
re_lu_2_clip,Clip,"tf_op_layer_add/add:0['None', 64, 48, 96], clip_min13Unknown","re_lu_2/Relu:0['None', 64, 48, 96]"
res2b_branch2a,Conv,"re_lu_2/Relu:0['None', 64, 48, 96], res2b_branch2a_W_newUnknown, res2b_branch2a_B_newUnknown","convolution_output18['None', 64, 48, 96]"
re_lu_3_clip,Clip,"convolution_output18['None', 64, 48, 96], clip_min14Unknown","re_lu_3/Relu:0['None', 64, 48, 96]"
res2b_branch2b,Conv,"re_lu_3/Relu:0['None', 64, 48, 96], res2b_branch2b_W_newUnknown, res2b_branch2b_B_newUnknown","convolution_output15['None', 64, 48, 96]"
tf_op_layer_add_1/add_1,Add,"re_lu_2/Relu:0['None', 64, 48, 96], convolution_output15['None', 64, 48, 96]","tf_op_layer_add_1/add_1:0['None', 64, 48, 96]"
re_lu_4_clip,Clip,"tf_op_layer_add_1/add_1:0['None', 64, 48, 96], clip_min11Unknown","re_lu_4/Relu:0['None', 64, 48, 96]"
res3a_branch1,Conv,"re_lu_4/Relu:0['None', 64, 48, 96], res3a_branch1_W_newUnknown, res3a_branch1_B_newUnknown","convolution_output11['None', 128, 24, 48]"
res3a_branch2a,Conv,"re_lu_4/Relu:0['None', 64, 48, 96], res3a_branch2a_W_newUnknown, res3a_branch2a_B_newUnknown","convolution_output14['None', 128, 24, 48]"
re_lu_5_clip,Clip,"convolution_output14['None', 128, 24, 48], clip_min12Unknown","re_lu_5/Relu:0['None', 128, 24, 48]"
res3a_branch2b,Conv,"re_lu_5/Relu:0['None', 128, 24, 48], res3a_branch2b_W_newUnknown, res3a_branch2b_B_newUnknown","convolution_output12['None', 128, 24, 48]"
tf_op_layer_add_2/add_2,Add,"convolution_output11['None', 128, 24, 48], convolution_output12['None', 128, 24, 48]","tf_op_layer_add_2/add_2:0['None', 128, 24, 48]"
re_lu_6_clip,Clip,"tf_op_layer_add_2/add_2:0['None', 128, 24, 48], clip_min9Unknown","re_lu_6/Relu:0['None', 128, 24, 48]"
res3b_branch2a,Conv,"re_lu_6/Relu:0['None', 128, 24, 48], res3b_branch2a_W_newUnknown, res3b_branch2a_B_newUnknown","convolution_output13['None', 128, 24, 48]"
